product_id,brand,name,price,rating,skin_type,concern,ingredients
1,CeraVe,Acne Foaming Cream Cleanser,14.99,4.6,Oily / Combination,acne,"Salicylic Acid, Niacinamide, Ceramides"
2,The Ordinary,Niacinamide 10% + Zinc 1%,6.00,4.5,All Skin Types,acne,"Niacinamide, Zinc PCA"
3,Paula's Choice,Clear Regular Strength 2% Salicylic Treatment,35.00,4.6,Oily / Combination,acne,"Salicylic Acid, Green Tea Extract"
4,La Roche-Posay,Effaclar Duo Dual Action Acne Treatment,22.99,4.7,Oily / Sensitive,acne,"Benzoyl Peroxide, Lipo Hydroxy Acid"
5,PanOxyl,Acne Foaming Wash Benzoyl Peroxide 10%,10.49,4.5,Oily / Acne Prone,acne,"Benzoyl Peroxide, Glycerin"
6,Paula's Choice,Skin Perfecting 2% BHA Liquid Exfoliant,34.00,4.7,Oily / Combination,blackheads,"Salicylic Acid, Green Tea"
7,COSRX,BHA Blackhead Power Liquid,25.00,4.6,Oily / Combination,blackheads,"Betaine Salicylate, Niacinamide"
8,Innisfree,Super Volcanic Pore Clay Mask,16.00,4.5,Oily / Combination,blackheads,"Volcanic Ash, AHA Exfoliants"
9,Anua,Heartleaf Pore Control Cleansing Oil,20.00,4.6,All Skin Types,blackheads,"Heartleaf Extract, Jojoba Oil"
10,The Ordinary,Salicylic Acid 2% Masque,13.00,4.4,Oily / Combination,blackheads,"Salicylic Acid, Charcoal, Kaolin Clay"
11,The Ordinary,Alpha Arbutin 2% + HA,11.00,4.4,All Skin Types,dark spots,"Alpha Arbutin, Hyaluronic Acid"
12,Skinceuticals,C E Ferulic Vitamin C Serum,182.00,4.8,All Skin Types,dark spots,"L-Ascorbic Acid, Ferulic Acid, Vitamin E"
13,Hyper Skin,Brightening Dark Spot Vitamin C Serum,58.00,4.5,All Skin Types,dark spots,"Vitamin C, Kojic Acid, Turmeric"
14,Good Molecules,Discoloration Correcting Serum,12.00,4.6,All Skin Types,dark spots,"Tranexamic Acid, Niacinamide"
15,Murad,Rapid Dark Spot Correcting Serum,83.00,4.5,All Skin Types,dark spots,"Glycolic Acid, Tranexamic Acid"
16,Beauty of Joseon,Revive Eye Serum Ginseng + Retinal,17.00,4.7,All Skin Types,puffy eyes,"Ginseng Extract, Retinal"
17,The Inkey List,Caffeine Eye Cream,10.99,4.3,All Skin Types,puffy eyes,"Caffeine, Matrixyl 3000"
18,Kiehl's,Creamy Eye Treatment with Avocado,38.00,4.5,Dry / Sensitive,puffy eyes,"Avocado Oil, Beta-Carotene, Shea Butter"
19,Olehenriksen,Banana Bright+ Eye Crème,44.00,4.4,All Skin Types,puffy eyes,"Vitamin C, Collagen, Bioflavonoids"
20,The Ordinary,Multi-Peptide Eye Serum,19.00,4.3,All Skin Types,puffy eyes,"Peptides, Caffeine, Epigallocatechin Gallatyl Glucoside"
21,RoC,Retinol Correxion Deep Wrinkle Night Cream,29.99,4.5,Dry / Normal,wrinkles,"Pure Retinol, Mineral Complex"
22,Neutrogena,Rapid Wrinkle Repair Regenerating Cream,31.99,4.4,All Skin Types,wrinkles,"Retinol, Hyaluronic Acid"
23,Drunk Elephant,A-Passioni Retinol Cream,74.00,4.5,All Skin Types,wrinkles,"1% Retinol, Peptides, Passionfruit"
24,Sunday Riley,A+ High-Dose Retinoid Serum,85.00,4.6,All Skin Types,wrinkles,"Retinoid Ester, CoQ10, Hawaiian White Honey"
25,Olay,Regenerist Micro-Sculpting Cream,27.49,4.6,All Skin Types,wrinkles,"Niacinamide, Amino-Peptides, Hyaluronic Acid"
26,Cetaphil,Gentle Skin Cleanser,12.49,4.6,Normal / Sensitive,clear skin,"Glycerin, Niacinamide, Panthenol"
27,La Roche-Posay,Toleriane Double Repair Face Moisturizer,23.99,4.7,All Skin Types,clear skin,"Ceramide-3, Niacinamide, Glycerin"
28,EltaMD,UV Clear Broad-Spectrum SPF 46,41.00,4.8,All Skin Types,clear skin,"Zinc Oxide, Niacinamide, Hyaluronic Acid"
29,COSRX,Advanced Snail 96 Mucin Power Essence,25.00,4.7,All Skin Types,clear skin,"Snail Secretion Filtrate, Sodium Hyaluronate"
30,Beauty of Joseon,Relief Sun Rice + Probiotics SPF50+,18.00,4.8,All Skin Types,clear skin,"Rice Extract, Grain Ferment Extracts"
