Index,X,Y,Z,Region,Description
0,0.0,-3.406404,5.979507,Forehead,Landmark 0 located on the superior forehead region near the hairline.
1,0.0,-1.126865,7.475604,Nose,"Tip of the nose (pronasale), located at the most anterior projecting point of the nasal dorsum."
2,0.0,-2.089024,6.058267,Forehead,Landmark 2 located on the superior forehead region near the hairline.
3,-0.463928,0.955357,6.633583,Forehead,Landmark 3 located on the superior forehead region near the hairline.
4,0.0,-0.46317,7.58658,Forehead,Landmark 4 located on the superior forehead region near the hairline.
5,0.0,0.365669,7.24287,Forehead,Landmark 5 located on the superior forehead region near the hairline.
6,0.0,2.473255,5.788627,Forehead,Landmark 6 located on the superior forehead region near the hairline.
7,-4.253081,2.577646,3.279702,Forehead,Landmark 7 located on the superior forehead region near the hairline.
8,0.0,4.019042,5.284764,Forehead,Landmark 8 located on the superior forehead region near the hairline.
9,0.0,4.885979,5.385258,Forehead,Landmark 9 located on the superior forehead region near the hairline.
10,0.0,8.261778,4.481535,Eyebrow,"Landmark 10 along the eyebrow arch, marking the supraorbital ridge contour."
11,0.0,-3.706811,5.864924,Eyebrow,"Landmark 11 along the eyebrow arch, marking the supraorbital ridge contour."
12,0.0,-3.918301,5.56943,Eyebrow,"Landmark 12 along the eyebrow arch, marking the supraorbital ridge contour."
13,0.0,-3.994436,5.219482,Eyebrow,"Landmark 13 along the eyebrow arch, marking the supraorbital ridge contour."
14,0.0,-4.5424,5.404754,Eyebrow,"Landmark 14 along the eyebrow arch, marking the supraorbital ridge contour."
15,0.0,-4.745577,5.529457,Eyebrow,"Landmark 15 along the eyebrow arch, marking the supraorbital ridge contour."
16,0.0,-5.019567,5.601448,Eyebrow,"Landmark 16 along the eyebrow arch, marking the supraorbital ridge contour."
17,0.0,-5.365123,5.535441,Eyebrow,"Landmark 17 along the eyebrow arch, marking the supraorbital ridge contour."
18,0.0,-6.149624,5.071372,Eyebrow,"Landmark 18 along the eyebrow arch, marking the supraorbital ridge contour."
19,0.0,-1.501095,7.112196,Eyebrow,"Landmark 19 along the eyebrow arch, marking the supraorbital ridge contour."
20,-0.416106,-1.466449,6.447657,Eyebrow,"Landmark 20 along the eyebrow arch, marking the supraorbital ridge contour."
21,-7.08796,5.434801,0.09962,Eyebrow,"Landmark 21 along the eyebrow arch, marking the supraorbital ridge contour."
22,-2.628639,2.035898,3.848121,Eyebrow,"Landmark 22 along the eyebrow arch, marking the supraorbital ridge contour."
23,-3.198363,1.985815,3.796952,Eyebrow,"Landmark 23 along the eyebrow arch, marking the supraorbital ridge contour."
