category_type,category_label,product_name,brand,key_ingredient,product_type,approx_rating,price_inr,purchase_link,image_url
skin_concern,Non Inflammatory Acne Black Heads,2% Salicylic Acid Face Serum for Acne & Blackheads,Minimalist,Salicylic Acid 2%,Serum,4.3,₹549,https://www.amazon.in/s?k=Minimalist+2%+Salicylic+Acid+Face+Serum+for+Acne+&+Blackheads,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne Black Heads,10% Niacinamide + 1% Zinc Serum,The Ordinary,Niacinamide + Zinc,Serum,4.3,₹720,https://www.amazon.in/s?k=The+Ordinary+10%+Niacinamide+++1%+Zinc+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne Black Heads,Skin Perfecting 2% BHA Liquid Exfoliant,Paula's Choice,Salicylic Acid (BHA),Exfoliating Toner,4.5,"₹3,290",https://www.amazon.in/s?k=Paula's+Choice+Skin+Perfecting+2%+BHA+Liquid+Exfoliant,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne Black Heads,Effaclar Duo+ Anti-Blemish Concentrate,La Roche-Posay,Niacinamide + LHA,Spot Treatment,4.4,"₹1,700",https://www.amazon.in/s?k=La+Roche-Posay+Effaclar+Duo++Anti-Blemish+Concentrate,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne Black Heads,Charcoal Blackhead Remover Strips & Mask,Bioré,Activated Charcoal,Mask/Strips,4.2,₹499,https://www.amazon.in/s?k=Bioré+Charcoal+Blackhead+Remover+Strips+&+Mask,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne Black Heads,2% Salicylic Acid Face Serum,Derma Co,Salicylic Acid 2%,Serum,4.2,₹499,https://www.amazon.in/s?k=Derma+Co+2%+Salicylic+Acid+Face+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne Black Heads,Charcoal & Salicylic Acid Face Wash,Plum,Activated Charcoal + Salicylic Acid,Face Wash,4.3,₹375,https://www.amazon.in/s?k=Plum+Charcoal+&+Salicylic+Acid+Face+Wash,https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne Black Heads,Clear Pore Nose Strips,Nivea,Kaolin Clay,Strips,4.1,₹299,https://www.amazon.in/s?k=Nivea+Clear+Pore+Nose+Strips,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne White Heads,2% BHA Salicylic Acid Toner,Deconstruct,Salicylic Acid 2%,Toner,4.3,₹575,https://www.amazon.in/s?k=Deconstruct+2%+BHA+Salicylic+Acid+Toner,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne White Heads,Clearing Serum (Niacinamide + Alpha Arbutin),Deconstruct,Niacinamide + Alpha Arbutin,Serum,4.4,₹599,https://www.amazon.in/s?k=Deconstruct+Clearing+Serum+(Niacinamide+++Alpha+Arbutin),https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne White Heads,AHA/BHA/PHA 32% Exfoliating Peeling Solution,The Ordinary,Glycolic/Salicylic Acid blend,Peeling Solution,4.4,"₹1,890",https://www.amazon.in/s?k=The+Ordinary+AHA/BHA/PHA+32%+Exfoliating+Peeling+Solution,https://images.unsplash.com/photo-1601049541289-9b1b7bbbfe19?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne White Heads,Oil-Free Acne Wash Redness Relief,Neutrogena,Salicylic Acid,Face Wash,4.3,₹499,https://www.amazon.in/s?k=Neutrogena+Oil-Free+Acne+Wash+Redness+Relief,https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne White Heads,0.3% Retinol Serum,Minimalist,Retinol 0.3%,Serum,4.2,₹599,https://www.amazon.in/s?k=Minimalist+0.3%+Retinol+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne White Heads,2% Salicylic Acid Clarifying Serum,Pilgrim,Salicylic Acid + Witch Hazel,Serum,4.2,₹399,https://www.amazon.in/s?k=Pilgrim+2%+Salicylic+Acid+Clarifying+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Non Inflammatory Acne White Heads,5% Nia-Ceramide Mattifying Moisturizer,Derma Co,Niacinamide + Ceramides,Moisturizer,4.3,₹549,https://www.amazon.in/s?k=Derma+Co+5%+Nia-Ceramide+Mattifying+Moisturizer,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_concern,Inflammatory Acne,Adapalene Gel 0.1%,Differin,Adapalene (Retinoid),Spot Gel,4.5,₹649,https://www.amazon.in/s?k=Differin+Adapalene+Gel+0.1%,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?auto=format&fit=crop&w=600&q=80
skin_concern,Inflammatory Acne,Effaclar BPO Micronized Benzoyl Peroxide 5.5%,La Roche-Posay,Benzoyl Peroxide,Spot Treatment,4.4,"₹1,650",https://www.amazon.in/s?k=La+Roche-Posay+Effaclar+BPO+Micronized+Benzoyl+Peroxide+5.5%,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?auto=format&fit=crop&w=600&q=80
skin_concern,Inflammatory Acne,10% Benzoyl Peroxide Spot Treatment,Differin,Benzoyl Peroxide 10%,Spot Treatment,4.3,₹899,https://www.amazon.in/s?k=Differin+10%+Benzoyl+Peroxide+Spot+Treatment,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?auto=format&fit=crop&w=600&q=80
skin_concern,Inflammatory Acne,DermaControl Oil Absorbing Moisturizer SPF 30,Cetaphil,Zinc + Niacinamide,Moisturizer + SPF,4.4,₹899,https://www.amazon.in/s?k=Cetaphil+DermaControl+Oil+Absorbing+Moisturizer+SPF+30,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_concern,Inflammatory Acne,Acne Capsules (Zinc + Lactoferrin),O Positiv FLO,"Zinc, Lactoferrin, Vitamin E",Supplement,4.2,"₹2,200",https://www.amazon.in/s?k=O+Positiv+FLO+Acne+Capsules+(Zinc+++Lactoferrin),https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&w=600&q=80
skin_concern,Inflammatory Acne,Acnexpert Oil Free Moisturizer,Moody,Niacinamide + Green Tea,Moisturizer,4.1,₹450,https://www.amazon.in/s?k=Moody+Acnexpert+Oil+Free+Moisturizer,https://images.unsplash.com/photo-1608248597263-00079e96447c?auto=format&fit=crop&w=600&q=80
skin_concern,Inflammatory Acne,Tea Tree Oil Control Face Wash,Body Shop,Tea Tree Oil,Face Wash,4.3,₹595,https://www.amazon.in/s?k=Body+Shop+Tea+Tree+Oil+Control+Face+Wash,https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80
skin_concern,Dark Spots And Pigmentation,Mela B3 Dark Spot Serum,La Roche-Posay,Niacinamide 10% + Melasyl,Serum,4.5,"₹2,900",https://www.amazon.in/s?k=La+Roche-Posay+Mela+B3+Dark+Spot+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Dark Spots And Pigmentation,2% Alpha Arbutin Face Serum,Minimalist,Alpha Arbutin 2%,Serum,4.3,₹549,https://www.amazon.in/s?k=Minimalist+2%+Alpha+Arbutin+Face+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Dark Spots And Pigmentation,10% Vitamin C Advanced Face Serum,Derma Co,Vitamin C + Ferulic Acid,Serum,4.3,₹699,https://www.amazon.in/s?k=Derma+Co+10%+Vitamin+C+Advanced+Face+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Dark Spots And Pigmentation,Niacinamide & Alpha Arbutin Skin Clarifying Serum,Pilgrim,Niacinamide 5% + Alpha Arbutin 1%,Serum,4.3,₹499,https://www.amazon.in/s?k=Pilgrim+Niacinamide+&+Alpha+Arbutin+Skin+Clarifying+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Dark Spots And Pigmentation,15% Vitamin C Advanced Face Serum,Derma Co,Vitamin C 15%,Serum,4.3,₹649,https://www.amazon.in/s?k=Derma+Co+15%+Vitamin+C+Advanced+Face+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Dark Spots And Pigmentation,2% Kojic Acid Face Serum,Derma Co,Kojic Acid,Serum,4.2,₹549,https://www.amazon.in/s?k=Derma+Co+2%+Kojic+Acid+Face+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Dark Spots And Pigmentation,Vitamin C + E Sunscreen SPF 50 PA+++,Dot & Key,Vitamin C + Niacinamide + SPF,Sunscreen,4.4,₹595,https://www.amazon.in/s?k=Dot+&+Key+Vitamin+C+++E+Sunscreen+SPF+50+PA+++,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_concern,Dark Spots And Pigmentation,15% Vitamin C Brightening Serum with Multi-Peptide,New69BC,Vitamin C 15% + Peptides,Serum,4.1,"₹1,319",https://www.amazon.in/s?k=New69BC+15%+Vitamin+C+Brightening+Serum+with+Multi-Peptide,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Wrinkles,0.3% Retinol Anti-Aging Serum,Minimalist,Retinol 0.3%,Serum,4.2,₹599,https://www.amazon.in/s?k=Minimalist+0.3%+Retinol+Anti-Aging+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Wrinkles,Rapid Wrinkle Repair Daily Moisturizer SPF 30,Neutrogena,Retinol + Vitamin C,Moisturizer + SPF,4.4,"₹1,199",https://www.amazon.in/s?k=Neutrogena+Rapid+Wrinkle+Repair+Daily+Moisturizer+SPF+30,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_concern,Wrinkles,Regenerist Micro-Sculpting Cream SPF 30,Olay,Peptides + Niacinamide + Hyaluronic Acid,Moisturizer + SPF,4.4,"₹1,499",https://www.amazon.in/s?k=Olay+Regenerist+Micro-Sculpting+Cream+SPF+30,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_concern,Wrinkles,Retinol 24 Night Serum,Olay,Retinol,Night Serum,4.3,"₹1,299",https://www.amazon.in/s?k=Olay+Retinol+24+Night+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Wrinkles,Skin Renew Peptide Retinol Serum-Cream,Derma Co,Retinaldehyde + Peptides + Alpha Arbutin,Serum-Cream,4.5,"₹1,599",https://www.amazon.in/s?k=Derma+Co+Skin+Renew+Peptide+Retinol+Serum-Cream,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Wrinkles,0.5% Retinol Serum,Pilgrim,Retinol 0.5%,Serum,4.2,₹549,https://www.amazon.in/s?k=Pilgrim+0.5%+Retinol+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Wrinkles,Retinol Face Serum with Retinol and Bakuchi,Mamaearth,Retinol + Bakuchiol,Serum,4.3,₹599,https://www.amazon.in/s?k=Mamaearth+Retinol+Face+Serum+with+Retinol+and+Bakuchi,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Wrinkles,RevitaLift Triple Power Moisturizer SPF 30,L'Oréal Paris,Pro-Retinol + Vitamin C + Hyaluronic Acid,Moisturizer + SPF,4.3,₹999,https://www.amazon.in/s?k=L'Oréal+Paris+RevitaLift+Triple+Power+Moisturizer+SPF+30,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?auto=format&fit=crop&w=600&q=80
skin_concern,Pores,10% Niacinamide Face Serum,Derma Co,Niacinamide 10%,Serum,4.4,₹549,https://www.amazon.in/s?k=Derma+Co+10%+Niacinamide+Face+Serum,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
skin_concern,Pores,10% Niacinamide Booster,Paula's Choice,Niacinamide 10%,Serum,4.4,"₹3,290",https://www.amazon.in/s?k=Paula's+Choice+10%+Niacinamide+Booster,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
